@relation 'struts_pkg_prediction-weka.filters.unsupervised.attribute.Remove-R1,9-11-weka.filters.supervised.instance.SMOTE-C2-K5-P1220.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P1841.0-S1'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
b,0,0,0,0,0.622002,0
b,0,0,0,0,0,0
b,0,0,0,0,0.345423,0
b,0,0,0,0,0.905521,0
b,0,0,0,0,0,0.429081
b,0.175441,0,0,0,0,0
b,0,0,0,0,0,0
b,0,0,0,0,0.044621,0
b,0.444919,0,0,0,0,0
b,1,1,0,1,0.728077,0
b,1,1,0,0.71746,0.914868,0
b,1,1,0,1,0.099652,0.448348
b,1,1,0,1,0.020835,0.582564
b,1,1,0,0.016443,0.602347,0
b,1,1,0,0.489287,0.687335,0
b,1,1,0,1,0.136564,0
b,1,1,0,1,0.704509,0.55996
b,1,1,0,1,0.122653,0.755858
b,1,1,0,0.623042,0.540381,0
b,1,1,0,1,0.088112,0
b,1,1,0,0.307285,0.562386,0
b,1,0.866045,0,0,0,0
b,1,0.509917,0,0,0,0
b,1,0.357973,0,0,0,0
b,0.208767,0,0,0,0,0
b,0.008034,0,0,0,0,0
b,1,0.235436,0,0,0,0
b,0.155278,0,0,0,0,0
b,0.208714,0,0,0,0,0
b,0.228246,0,0,0,0,0
b,0.184491,0,0,0,0,0
b,0.552179,0,0,0,0,0
b,0.221636,0,0,0,0,0
b,1,1,0,0.332719,0,0
b,1,1,0,0.948982,0,0
b,1,1,0,1,0,0.099156
b,1,1,0,1,0.11259,0
b,1,1,0,0.826335,0,0
b,1,1,0,1,0,0.274892
b,1,1,0,1,0.133005,0
b,1,1,0,1,0.344755,0
b,1,1,0,0.373916,0,0
b,1,1,0,1,0.165468,0
b,1,1,0,1,0,0.989789
b,1,1,0,0.322252,0,0
b,1,1,0,1,0,0.994681
b,0,0.365589,0,0,0,0
b,0,0.062208,0,0,0,0
b,0,0.288926,0,0,0,0
b,0,1,0,0,0.236544,0
b,0,0.678,0,0,0,0
b,0.068481,1,0,0,0,0
b,0.855125,1,0,0,0,0
b,0,0.347571,0,0,0,0
b,0,0.653497,0,0,0,0
b,0,0.583012,0,0,0,0
b,0.847185,1,0,0,0,0
b,0,0.904358,0,0,0,0
b,0,0,0,0,1,0
b,0,0,0,0,1,0
b,0,0,0,0,1,0
b,0,0,0,0,1,0
b,0,0,0,0,0.511633,0
b,0,0,0,0,0.92158,0
b,0,0,0,0,1,0
b,0,0,0,0,0.051821,0
b,0,0,0,0,0.262083,0
b,0,0,0,0,1,0
b,0,0,0,0,0.609821,0
b,0,0,0,0,1,0
b,0,0,0.96163,0,0,1
b,0,0,0,0,0,1
b,0,0,0.444323,0,0,1
b,0,0,0,0,0,1
b,0,0,0,0,0,1
b,0,0,0,0,0,1
b,0,0,0.489997,0,0,1
b,0,0,0.460068,0,0,1
b,0,0,0.814241,0,0,1
b,0,0,0,0,0,0.632293
b,0,0,0.415265,0,0,1
b,0,0,0,0,0,0.836927
b,0,1,0,0,1,0.385197
b,0,1,0,0,0.985735,0
b,0,0.804367,0,0,1,0
b,0,1,0,0,0.792474,0
b,0,0.11588,0,0,1,0
b,0,0.619105,0,0,1,0
b,0,1,0,0,0.403844,0
b,0,1,0,0,0.393026,0
b,0,1,0,0,1,0.628533
b,0,0.348503,0,0,1,0
b,0,0.59581,0,0,1,0
b,0,0.075288,0,0,1,0
b,0,0,0,0,1,0
b,0,0,0,0,0.982868,0
b,0,0,0,0,0.660349,0
b,0,0,0,0,0.224711,0
b,0,0,0,0,1,0
b,0,0,0,0,0.524515,0
b,0,0,0,0,1,0
b,0,0,0,0,1,0
b,0,0,0,0,0.85245,0
b,0,0,0,0,0.897663,0
b,0,0,0,0,1,0
b,0,0,0,0,1,0
b,1,1,0,0.34838,0,0.022859
b,1,1,0,1,0,1
b,1,1,0,1,0,1
b,1,1,0,1,0,0.234401
b,1,1,0,1,0,0.697176
b,1,1,0,0.181147,0,0.315795
b,1,1,0,1,0,0.584193
b,1,1,0,1,0,1
b,1,1,0,1,0,1
b,1,1,0,1,0,1
b,1,1,0,0.927491,0,0.904053
b,1,1,0,1,0,1
b,1,1,0,1,0,0.42115
b,0,0,0,0,0,1
b,0,0,0.608147,0,0,1
b,0,0,0,0,0,0.871706
b,0,0,0,0,0,1
b,0,0,0,0,0,1
b,0,0,0,0,0,0.689246
b,0,0,0,0,0,1
b,0,0,0,0,0,0.775024
b,0,0,0,0,0,1
b,0,0,0.981678,0,0,1
b,0,0,0.701903,0,0,1
b,0,0,0.530977,0,0,1
b,0,0,0,0,0,0.377689
b,0,1,0,0,0.094364,0.024042
b,0,1,0,0,0.873177,1
b,0,0.667296,0,0,0.329543,1
b,0,1,0,0,0.651307,0.113396
b,0,1,0,0,0.987198,1
b,0,1,0,0,1,0.794879
b,0,1,0,0,1,0.200369
b,0,1,0,0,1,0.151305
b,0,1,0,0,0.694974,0.667905
